"","","date","region","HFR"
"1",1,"2020-03-16","england",0.434285714285714
"2",2,"2020-03-17","england",0.432270916334661
"3",3,"2020-03-18","england",0.462526766595289
"4",4,"2020-03-19","england",0.390596745027125
"5",5,"2020-03-20","england",0.457912457912458
"6",6,"2020-03-21","england",0.422413793103448
"7",7,"2020-03-22","england",0.462235649546828
"8",8,"2020-03-23","england",0.470315398886827
"9",9,"2020-03-24","england",0.454928390901432
"10",10,"2020-03-25","england",0.447976878612717
"11",11,"2020-03-26","england",0.448666666666667
"12",12,"2020-03-27","england",0.42457337883959
"13",13,"2020-03-28","england",0.48130523453433
"14",14,"2020-03-29","england",0.505422993492408
"15",15,"2020-03-30","england",0.415399705738107
"16",16,"2020-03-31","england",0.41195856873823
"17",17,"2020-04-01","england",0.380721830985915
"18",18,"2020-04-02","england",0.408259033317691
"19",19,"2020-04-03","england",0.409746394828444
"20",20,"2020-04-04","england",0.408607863974495
"21",21,"2020-04-05","england",0.438891637803068
"22",22,"2020-04-06","england",0.415629666500747
"23",23,"2020-04-07","england",0.407646474677259
"24",24,"2020-04-08","england",0.420991253644315
"25",25,"2020-04-09","england",0.444369973190349
"26",26,"2020-04-10","england",0.432579890880748
"27",27,"2020-04-11","england",0.450229709035222
"28",28,"2020-04-12","england",0.433862433862434
"29",29,"2020-04-13","england",0.402607986960065
"30",30,"2020-04-14","england",0.416095890410959
"31",31,"2020-04-15","england",0.402753872633391
"32",32,"2020-04-16","england",0.387420237010027
"33",33,"2020-04-17","england",0.391170431211499
"34",34,"2020-04-18","england",0.430260047281324
"35",35,"2020-04-19","england",0.415718717683557
"36",36,"2020-04-20","england",0.394422310756972
"37",37,"2020-04-21","england",0.365023474178404
"38",38,"2020-04-22","england",0.400753768844221
"39",39,"2020-04-23","england",0.339331619537275
"40",40,"2020-04-24","england",0.338959212376934
"41",41,"2020-04-25","england",0.413570274636511
"42",42,"2020-04-26","england",0.370206489675516
"43",43,"2020-04-27","england",0.331352154531946
"44",44,"2020-04-28","england",0.35459940652819
"45",45,"2020-04-29","england",0.35472972972973
"46",46,"2020-04-30","england",0.311605723370429
"47",47,"2020-05-01","england",0.323475046210721
"48",48,"2020-05-02","england",0.403225806451613
"49",49,"2020-05-03","england",0.306859205776173
"50",50,"2020-05-04","england",0.321100917431193
"51",51,"2020-05-05","england",0.339702760084926
"52",52,"2020-05-06","england",0.36734693877551
"53",53,"2020-05-07","england",0.34375
"54",54,"2020-05-08","england",0.343434343434343
"55",55,"2020-05-09","england",0.377094972067039
"56",56,"2020-05-10","england",0.302658486707566
"57",57,"2020-05-11","england",0.283482142857143
"58",58,"2020-05-12","england",0.317617866004963
"59",59,"2020-05-13","england",0.298543689320388
"60",60,"2020-05-14","england",0.345268542199488
"61",61,"2020-05-15","england",0.287671232876712
"62",62,"2020-05-16","england",0.34453781512605
"63",63,"2020-05-17","england",0.354430379746835
"64",64,"2020-05-18","england",0.27536231884058
"65",65,"2020-05-19","england",0.3342175066313
"66",66,"2020-05-20","england",0.306990881458967
"67",67,"2020-05-21","england",0.374074074074074
"68",68,"2020-05-22","england",0.338461538461538
"69",69,"2020-05-23","england",0.322727272727273
"70",70,"2020-05-24","england",0.338912133891213
"71",71,"2020-05-25","england",0.320754716981132
"72",72,"2020-05-26","england",0.305555555555556
"73",73,"2020-05-27","england",0.309012875536481
"74",74,"2020-05-28","england",0.231707317073171
"75",75,"2020-05-29","england",0.310810810810811
"76",76,"2020-05-30","england",0.270642201834862
"77",77,"2020-05-31","england",0.276859504132231
"78",78,"2020-06-01","england",0.29646017699115
"79",79,"2020-06-02","england",0.233830845771144
"80",80,"2020-06-03","england",0.288888888888889
"81",81,"2020-06-04","england",0.272189349112426
"82",82,"2020-06-05","england",0.211920529801325
"83",83,"2020-06-06","england",0.298387096774194
"84",84,"2020-06-07","england",0.294478527607362
"85",85,"2020-06-08","england",0.23030303030303
"86",86,"2020-06-09","england",0.264367816091954
"87",87,"2020-06-10","england",0.2
"88",88,"2020-06-11","england",0.291666666666667
"89",89,"2020-06-12","england",0.198675496688742
"90",90,"2020-06-13","england",0.304054054054054
"91",91,"2020-06-14","england",0.221518987341772
"92",92,"2020-06-15","england",0.226519337016575
"93",93,"2020-06-16","england",0.266233766233766
"94",94,"2020-06-17","england",0.217741935483871
"95",95,"2020-06-18","england",0.231884057971014
"96",96,"2020-06-19","england",0.352941176470588
"97",97,"2020-06-20","england",0.229166666666667
"98",98,"2020-06-21","england",0.304347826086957
"99",99,"2020-06-22","england",0.201834862385321
"100",100,"2020-06-23","england",0.186915887850467
"101",101,"2020-06-24","england",0.198198198198198
"102",102,"2020-06-25","england",0.241758241758242
"103",103,"2020-06-26","england",0.239583333333333
"104",104,"2020-06-27","england",0.256410256410256
"105",105,"2020-06-28","england",0.183098591549296
"106",106,"2020-06-29","england",0.192307692307692
"107",107,"2020-06-30","england",0.243589743589744
"108",108,"2020-07-01","england",0.136842105263158
"109",109,"2020-07-02","england",0.2
"110",110,"2020-07-03","england",0.258620689655172
"111",111,"2020-07-04","england",0.169811320754717
"112",112,"2020-07-05","england",0.277777777777778
"113",113,"2020-07-06","england",0.151515151515152
"114",114,"2020-07-07","england",0.133333333333333
"115",115,"2020-07-08","england",0.25
"116",116,"2020-07-09","england",0.195652173913043
"117",117,"2020-07-10","england",0.177777777777778
"118",118,"2020-07-11","england",0.176470588235294
"119",119,"2020-07-12","england",0.222222222222222
"120",120,"2020-07-13","england",0.245283018867925
"121",121,"2020-07-14","england",0.291666666666667
"122",122,"2020-07-15","england",0.169230769230769
"123",123,"2020-07-16","england",0.104166666666667
"124",124,"2020-07-17","england",0.162162162162162
"125",125,"2020-07-18","england",0.133333333333333
"126",126,"2020-07-19","england",0.075
"127",127,"2020-07-20","england",0.166666666666667
"128",128,"2020-07-21","england",0.2
"129",129,"2020-07-22","england",0.163265306122449
"130",130,"2020-07-23","england",0.147540983606557
"131",131,"2020-07-24","england",0.0909090909090909
"132",132,"2020-07-25","england",0.142857142857143
"133",133,"2020-07-26","england",0.075
"134",134,"2020-07-27","england",0.0512820512820513
"135",135,"2020-07-28","england",0.191489361702128
"136",136,"2020-07-29","england",0.0697674418604651
"137",137,"2020-07-30","england",0.13953488372093
"138",138,"2020-07-31","england",0.115384615384615
"139",139,"2020-08-01","england",0.12
"140",140,"2020-08-02","england",0.254901960784314
"141",141,"2020-08-03","england",0.0238095238095238
"142",142,"2020-08-04","england",0.166666666666667
"143",143,"2020-08-05","england",0.146341463414634
"144",144,"2020-08-06","england",0.0930232558139535
"145",145,"2020-08-07","england",0.132075471698113
"146",146,"2020-08-08","england",0.106382978723404
"147",147,"2020-08-09","england",0.173913043478261
"148",148,"2020-08-10","england",0.285714285714286
"149",149,"2020-08-11","england",0.0465116279069767
"150",150,"2020-08-12","england",0.130434782608696
"151",151,"2020-08-13","england",0.0689655172413793
"152",152,"2020-08-14","england",0.233333333333333
"153",153,"2020-08-15","england",0.0769230769230769
"154",154,"2020-08-16","england",0.25
"155",155,"2020-08-17","england",0.192307692307692
"156",156,"2020-08-18","england",0.0571428571428571
"157",157,"2020-08-19","england",0.121951219512195
"158",158,"2020-08-20","england",0.125
"159",159,"2020-08-21","england",0.111111111111111
"160",160,"2020-08-22","england",0.171428571428571
"161",161,"2020-08-23","england",0.142857142857143
"162",162,"2020-08-24","england",0.113636363636364
"163",163,"2020-08-25","england",0.105263157894737
"164",164,"2020-08-26","england",0.0833333333333333
"165",165,"2020-08-27","england",0.239130434782609
"166",166,"2020-08-28","england",0.184210526315789
"167",167,"2020-08-29","england",0.121212121212121
"168",168,"2020-08-30","england",0.228571428571429
"169",169,"2020-08-31","england",0.3
"170",170,"2020-09-01","england",0.232558139534884
"171",171,"2020-09-02","england",0.166666666666667
"172",172,"2020-09-03","england",0.0983606557377049
"173",173,"2020-09-04","england",0.175438596491228
"174",174,"2020-09-05","england",0.142857142857143
"175",175,"2020-09-06","england",0.206349206349206
"176",176,"2020-09-07","england",0.164556962025316
"177",177,"2020-09-08","england",0.149425287356322
"178",178,"2020-09-09","england",0.130434782608696
"179",179,"2020-09-10","england",0.161904761904762
"180",180,"2020-09-11","england",0.186440677966102
"181",181,"2020-09-12","england",0.201612903225806
"182",182,"2020-09-13","england",0.194244604316547
"183",183,"2020-09-14","england",0.157534246575342
"184",184,"2020-09-15","england",0.121019108280255
"185",185,"2020-09-16","england",0.136904761904762
"186",186,"2020-09-17","england",0.159509202453988
"187",187,"2020-09-18","england",0.241758241758242
"188",188,"2020-09-19","england",0.195652173913043
"189",189,"2020-09-20","england",0.204761904761905
"190",190,"2020-09-21","england",0.175438596491228
"191",191,"2020-09-22","england",0.178571428571429
"192",192,"2020-09-23","england",0.193548387096774
"193",193,"2020-09-24","england",0.211155378486056
"194",194,"2020-09-25","england",0.206730769230769
"195",195,"2020-09-26","england",0.216326530612245
"196",196,"2020-09-27","england",0.178137651821862
"197",197,"2020-09-28","england",0.190283400809717
"198",198,"2020-09-29","england",0.165584415584416
"199",199,"2020-09-30","england",0.194267515923567
"200",200,"2020-10-01","england",0.165625
"201",201,"2020-10-02","england",0.176811594202899
"202",202,"2020-10-03","england",0.213675213675214
"203",203,"2020-10-04","england",0.175742574257426
"204",204,"2020-10-05","england",0.221476510067114
"205",205,"2020-10-06","england",0.199579831932773
"206",206,"2020-10-07","england",0.198614318706697
"207",207,"2020-10-08","england",0.204225352112676
"208",208,"2020-10-09","england",0.239130434782609
"209",209,"2020-10-10","england",0.252016129032258
"210",210,"2020-10-11","england",0.241962774957699
"211",211,"2020-10-12","england",0.235380116959064
"212",212,"2020-10-13","england",0.227272727272727
"213",213,"2020-10-14","england",0.186513629842181
"214",214,"2020-10-15","england",0.24962852897474
"215",215,"2020-10-16","england",0.209439528023599
"216",216,"2020-10-17","england",0.258730158730159
"217",217,"2020-10-18","england",0.246041412911084
"218",218,"2020-10-19","england",0.23142509135201
"219",219,"2020-10-20","england",0.228929384965831
"220",220,"2020-10-21","england",0.213483146067416
"221",221,"2020-10-22","england",0.231617647058824
"222",222,"2020-10-23","england",0.234162895927602
"223",223,"2020-10-24","england",0.252873563218391
"224",224,"2020-10-25","england",0.273201251303441
"225",225,"2020-10-26","england",0.240812379110251
"226",226,"2020-10-27","england",0.229330708661417
"227",227,"2020-10-28","england",0.228893058161351
"228",228,"2020-10-29","england",0.2427366447985
"229",229,"2020-10-30","england",0.242331288343558
"230",230,"2020-10-31","england",0.268932038834951
"231",231,"2020-11-01","england",0.227792436235708
"232",232,"2020-11-02","england",0.242236024844721
"233",233,"2020-11-03","england",0.229787234042553
"234",234,"2020-11-04","england",0.208926875593542
"235",235,"2020-11-05","england",0.252582159624413
"236",236,"2020-11-06","england",0.262703739213806
"237",237,"2020-11-07","england",0.256218905472637
"238",238,"2020-11-08","england",0.249588138385502
